sigla_uf;taxa_aprovacao;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada;ideb;projecao
AC;92.9;232.55;217.16;6.3563042;5.9;5.4
AL;96.2;218.72;204.28;5.8579478;5.6;4.5
AM;93.1;217.46;206.25;5.8693352;5.5;5.1
AP;91.1;202.83;194.49;5.375875;4.9;5.2
BA;91.0;215.16;204.28;5.7899261;5.3;4.7
CE;98.2;233.91;223.07;6.489614;6.4;5.1
DF;96.1;241.85;230.25;6.7721162;6.5;6.6
ES;95.2;233.66;220.47;6.4377332;6.1;6.1
GO;96.9;231.33;220.75;6.3983068;6.2;6.0
MA;94.3;203.19;191.77;5.3332758;5.0;4.8
MG;98.1;238.11;224.61;6.5980601;6.5;6.5
MS;91.8;227.27;215.82;6.2310519;5.7;5.5
MT;97.9;221.92;210.38;6.0300531;5.9;5.6
PA;88.4;207.11;197.24;5.507678;4.9;4.7
PB;92.9;216.5;204.55;5.8202591;5.4;5.0
PE;94.4;217.74;204.52;5.8433971;5.5;5.2
PI;93.4;224.75;212.33;6.1195979;5.7;4.8
PR;96.2;245.47;228.17;6.8034482;6.5;6.4
RJ;92.9;228.83;217.41;6.289773;5.8;6.1
RN;92.0;209.52;199.83;5.6010308;5.2;4.7
RO;93.7;221.58;207.8;5.976625;5.6;5.6
RR;93.9;222.69;209.58;6.0300322;5.7;5.6
RS;93.7;232.17;221.83;6.4341841;6.0;6.1
SC;96.5;240.36;227.86;6.6999888;6.5;6.3
SE;90.6;211.41;199.38;5.6289582;5.1;5.0
SP;98.5;245.5;229.36;6.8258591;6.7;6.5
TO;95.1;220.74;205.86;5.9249129;5.6;5.5
