sigla_uf;taxa_aprovacao;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada;ideb;projecao
AC;82.8;270.17;272.11;4.5578299;3.9;4.8
AL;86.7;263.82;267.95;4.406219;3.9;4.6
AM;82.9;251.69;258.61;4.0961828;3.6;4.0
AP;79.3;254.3;261.16;4.1707239;3.4;4.5
BA;79.4;261.35;263.91;4.311049;3.5;4.5
CE;92.7;272.82;275.73;4.6489501;4.4;4.9
DF;86.1;296.45;292.64;5.2341261;4.5;5.2
ES;88.8;298.48;293.14;5.270113;4.8;5.3
GO;92.9;291.79;290.95;5.1432271;4.8;4.8
MA;90.6;253.47;259.73;4.13766;3.8;4.3
MG;84.4;287.54;284.26;4.9835358;4.2;5.3
MS;83.1;285.41;284.7;4.960207;4.2;4.8
MT;73.2;271.32;271.73;4.5681429;3.6;4.7
PA;78.6;254.49;259.94;4.155129;3.4;4.4
PB;83.3;274.75;276.17;4.6827941;4.0;4.6
PE;93.5;281.14;282.45;4.8665438;4.5;4.6
PI;84.7;273.08;272.17;4.5994492;4.0;4.5
PR;89.1;293.29;290.85;5.1629381;4.7;5.2
RJ;81.7;280.55;280.97;4.8361011;4.1;4.9
RN;77.6;262.54;265.45;4.350966;3.5;4.5
RO;86.4;278.8;278.25;4.7708039;4.3;4.8
RR;83.8;265.66;268.01;4.4328198;3.9;5.1
RS;79.2;291.41;289.67;5.1187291;4.2;5.3
SC;82.0;289.55;284.32;5.0126562;4.2;5.4
SE;81.2;271.85;272.57;4.5881619;3.7;4.9
SP;92.3;283.92;286.54;4.9668159;4.6;5.2
TO;87.9;269.19;266.7;4.4629369;4.0;4.7
