sigla_uf;nota_saeb_fundamentalI;nota_saeb_fundamentalII;nota_saeb_medio;enem
AC;258.16;217.16;272.11;502.13776337115104
AL;251.85;204.28;267.95;502.10162483912575
AM;254.27;206.25;258.61;499.8837383177573
AP;243.71;194.49;261.16;499.2489056332984
BA;250.55;204.28;263.91;510.9091410527994
CE;269.5;223.07;275.73;512.2371413131618
DF;266.82;230.25;292.64;534.2897137150454
ES;264.73;220.47;293.14;528.0439226960548
GO;267.6;220.75;290.95;523.3635686193337
MA;244.25;191.77;259.73;496.9181699256433
MG;263.73;224.61;284.26;532.8608338137567
MS;260.57;215.82;284.7;517.3941660614865
MT;252.52;210.38;271.73;510.2761751707512
PA;248.03;197.24;259.94;501.13153536014056
PB;254.02;204.55;276.17;510.5529064440598
PE;256.23;204.52;282.45;516.4847318063233
PI;262.2;212.33;272.17;501.3287585055851
PR;268.2;228.17;290.85;533.9548508930665
RJ;263.54;217.41;280.97;536.7775827908275
RN;251.08;199.83;265.45;518.9060714727334
RO;257.17;207.8;278.25;503.748813465784
RR;243.02;209.58;268.01;510.2271999999997
RS;268.64;221.83;289.67;536.3134901082492
SC;269.82;227.86;284.32;537.3358837846044
SE;253.49;199.38;272.57;510.40287391216486
SP;268.89;229.36;286.54;541.1258976103786
TO;252.25;205.86;266.7;501.6221543985633
