sigla_uf;nota_saeb_fundamentalI;nota_saeb_fundamentalII;nota_saeb_medio;enem
AC;258.16;217.16;272.11;546.06135986733
AL;251.85;204.28;267.95;564.1751824817518
AM;254.27;206.25;258.61;517.4096992373003
AP;243.71;194.49;261.16;546.5259259259259
BA;250.55;204.28;263.91;565.8312515110001
CE;269.5;223.07;275.73;570.5098922309795
DF;266.82;230.25;292.64;595.947820343461
ES;264.73;220.47;293.14;597.3070866141733
GO;267.6;220.75;290.95;588.5081609314898
MA;244.25;191.77;259.73;542.9977258631383
MG;263.73;224.61;284.26;606.143486925539
MS;260.57;215.82;284.7;560.7614836649471
MT;252.52;210.38;271.73;546.5979797979797
PA;248.03;197.24;259.94;563.7080629193708
PB;254.02;204.55;276.17;580.0965092402464
PE;256.23;204.52;282.45;577.4632267102498
PI;262.2;212.33;272.17;573.2322053675613
PR;268.2;228.17;290.85;578.6230071897468
RJ;263.54;217.41;280.97;605.2053363718369
RN;251.08;199.83;265.45;589.5003843197541
RO;257.17;207.8;278.25;538.2092147203709
RR;243.02;209.58;268.01;532.5
RS;268.64;221.83;289.67;590.4209583519928
SC;269.82;227.86;284.32;595.7419755000775
SE;253.49;199.38;272.57;597.9489343743405
SP;268.89;229.36;286.54;593.021473008228
TO;252.25;205.86;266.7;562.1325850578744
